society_name,price,location,area
The Wadhwa Artek Park,₹9.05 Cr ,"3 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1393 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3
The Wadhwa Artek Park,₹12.28 Cr ,"4 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1890 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom4
The Wadhwa Artek Park,₹13.51 Cr ,"4 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area2055 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3
The Wadhwa Artek Park,₹9.63 Cr ,"3 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1464 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3
The Wadhwa Artek Park,₹14.50 Cr ,"4 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area2205 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom2
The Wadhwa Artek Park,₹23.59 Cr ,"5 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area3630 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom5
The Wadhwa Artek Park,₹9.05 Cr ,"3 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1393 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3
The Wadhwa Artek Park,₹12.28 Cr ,"4 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1890 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom4Balcony1
The Wadhwa Artek Park,₹13.51 Cr ,"4 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area2055 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3
The Wadhwa Artek Park,₹14.50 Cr ,"4 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area2205 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom2Balcony1
The Wadhwa Artek Park,₹23.59 Cr ,"5 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area3630 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom5Balcony1
The Wadhwa Artek Park,₹9.63 Cr ,"3 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1464 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3Balcony1
The Wadhwa Artek Park,₹9.05 Cr ,"3 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1393 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3
The Wadhwa Artek Park,₹12.28 Cr ,"4 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1890 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom4
The Wadhwa Artek Park,₹13.51 Cr ,"4 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area2055 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3
The Wadhwa Artek Park,₹14.50 Cr ,"4 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area2205 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom2
The Wadhwa Artek Park,₹9.63 Cr ,"3 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1464 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3
The Wadhwa Artek Park,₹23.59 Cr ,"5 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area3630 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom5
The Wadhwa Artek Park,₹9.05 Cr ,"3 BHK Flat for Sale in The Wadhwa Artek Park, Bandra Mumbai",Carpet Area1393 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyThe Wadhwa Artek ParkBathroom3
Rustomjee Stella,₹2.77 Cr ,"2 BHK Flat for Sale in Rustomjee Stella, Bandra East Mumbai",Carpet Area695 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietyRustomjee StellaBathroom2
Rustomjee Stella,₹2.76 Cr ,"2 BHK Flat for Sale in Rustomjee Stella, Bandra East Mumbai",Carpet Area693 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietyRustomjee StellaBathroom2
Rustomjee Stella,₹3.70 Cr ,"3 BHK Flat for Sale in Rustomjee Stella, Bandra East Mumbai",Carpet Area928 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietyRustomjee StellaBathroom3Balcony1
Rustomjee Stella,₹3.75 Cr ,"3 BHK Flat for Sale in Rustomjee Stella, Bandra East Mumbai",Carpet Area942 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietyRustomjee StellaBathroom3
Rustomjee Stella,₹2.70 Cr ,"2 BHK Flat for Sale in Rustomjee Stella, Bandra East Mumbai",Carpet Area679 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietyRustomjee StellaBathroom2
,₹2.67 Cr ,"2 BHK Flat for Sale in Rustomjee Stella, Bandra East Mumbai","Carpet Area695 sqftUnder ConstructionPoss. by Dec '27Floor12 out of 21TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Pool, Main RoadSocietyRustomjee StellaOwnershipFreeholdCar Parking2 CoveredBathroom2Balcony1"
,₹2.96 Cr ,"3 BHK Apartment for Sale in Ashwin Sheth Edmont Aurelia, Kandivali West Mumbai Western Mumbai",Carpet Area1009 sqftUnder ConstructionPoss. by Aug '29TransactionNew PropertyFurnishingUnfurnishedSocietyAshwin Sheth Edmont AureliaCar Parking1 CoveredBathroom3
,₹7.23 Cr ,"3 BHK Apartment for Sale in Raymond Invictus by GS, Bandra East Mumbai Western Mumbai",Carpet Area1345 sqftUnder ConstructionPoss. by Aug '31TransactionNew PropertyFurnishingUnfurnishedSocietyRaymond Invictus by GSBathroom3Balcony1
,₹9.94 Cr ,"4 BHK Apartment for Sale in Rishabraj Trident, Juhu Mumbai Western Mumbai",Carpet Area1808 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyRishabraj TridentBathroom4
,₹4.88 Cr ,"4 BHK Apartment for Sale in Chandak Greenairy, Borivali East Mumbai Western Mumbai",Carpet Area1378 sqftUnder ConstructionPoss. by Jun '28TransactionNew PropertyFurnishingUnfurnishedSocietyChandak GreenairyBathroom4Balcony1
,₹8.13 Cr ,"3 BHK Apartment for Sale in Adani Ten BKC , Bandra Kurla Complex Mumbai Western Mumbai",Super Area1626 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyAdani Ten BKCBathroom3Balcony1
,₹3.60 Cr ,"3 BHK Apartment for Sale in Lodha Sovrano, Jogeshwari West Mumbai Western Mumbai",Carpet Area1194 sqftUnder ConstructionPoss. by Dec '30TransactionNew PropertyFurnishingUnfurnishedSocietyLodha SovranoBathroom3Balcony1
,₹2.28 Cr ,"  Office Space for Sale in Swaroop Aditya Avenue, Andheri East Mumbai Western Mumbai",Carpet Area634 sqftTransactionNew PropertyBathroom1
,₹11.90 Cr ,"4 BHK Apartment for Sale in Hiranandani Bay Heights, Bandra West Mumbai Western Mumbai",Carpet Area1831 sqftUnder ConstructionPoss. by Nov '30TransactionNew PropertyFurnishingUnfurnishedSocietyHiranandani Bay HeightsBathroom4Balcony4
,₹2.49 Cr ,"2 BHK Apartment for Sale in Ashwin Sheth Edmont Aurelia, Kandivali West Mumbai Western Mumbai",Carpet Area761 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyAshwin Sheth Edmont AureliaBathroom2Balcony1
,₹7.63 Cr ,"3 BHK Apartment for Sale in Radius 10 BKC, Bandra Kurla Complex Mumbai Western Mumbai",Carpet Area1175 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyRadius 10 BKCBathroom3Balcony3
,₹2.64 Cr ,"3 BHK Apartment for Sale in Kalpataru Vivant, Jogeshwari Vikhroli Link Road Mumbai Western Mumbai",Carpet Area850 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyKalpataru Vivant
,₹9.03 Cr ,"5 BHK Apartment for Sale in Matrubhumi The Grand Residences, Borivali East Mumbai Western Mumbai",Carpet Area2589 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyMatrubhumi The Grand Residences
,₹2.37 Cr ,"2 BHK Apartment for Sale in Chandak Greenairy, Borivali East Mumbai Western Mumbai",Carpet Area683 sqftUnder ConstructionPoss. by Jun '28TransactionNew PropertyFurnishingUnfurnishedSocietyChandak GreenairyBathroom2Balcony1
Disha Elysium,₹4.63 Cr ,"3 BHK Apartment for Sale in Disha Elysium, Andheri West Mumbai Western Mumbai",Carpet Area1070 sqftUnder ConstructionPoss. by Mar '30TransactionNew PropertyFurnishingUnfurnishedSocietyDisha ElysiumBathroom3Balcony1
Kumar Vibe Mangrove,₹3.76 Cr ,"3 BHK Apartment for Sale in Kumar Vibe Mangrove, Goregaon West Mumbai Western Mumbai",Carpet Area1090 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyKumar Vibe MangroveBathroom3Balcony1
Regent Priyadarshani,₹4.90 Cr ,"3 BHK Apartment for Sale in Regent Priyadarshani, Vile Parle East Mumbai Western Mumbai",Carpet Area1253 sqftUnder ConstructionPoss. by Mar '29TransactionNew PropertyFurnishingUnfurnishedSocietyRegent PriyadarshaniBathroom2Balcony1
Raymond Invictus by GS,₹7.27 Cr ,"3 BHK Apartment for Sale in Raymond Invictus by GS, Bandra East Mumbai Western Mumbai",Carpet Area1353 sqftUnder ConstructionPoss. by Aug '31TransactionNew PropertyFurnishingUnfurnishedSocietyRaymond Invictus by GSBathroom3Balcony1
Sunbeam Heights,₹4.51 Cr ,"5 BHK Apartment for Sale in Sunbeam Heights, Andheri West Mumbai Western Mumbai",Carpet Area1295 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietySunbeam HeightsBathroom3Balcony1
Godrej Sky Shore,₹11.82 Cr ,"4 BHK Apartment for Sale in Godrej Sky Shore, Andheri West Mumbai Western Mumbai",Carpet Area2155 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedSocietyGodrej Sky ShoreBathroom3Balcony2
Puravankara Purva Estrella,₹3.37 Cr ,"2 BHK Apartment for Sale in Puravankara Purva Estrella, Andheri West Mumbai Western Mumbai",Carpet Area784 sqftUnder ConstructionPoss. by Jul '32TransactionNew PropertyFurnishingUnfurnishedSocietyPuravankara Purva EstrellaBathroom1Balcony1
Bharat Auravistas,₹9.14 Cr ,"7 BHK Apartment for Sale in Bharat Auravistas, Andheri West Mumbai Western Mumbai",Carpet Area2294 sqftUnder ConstructionPoss. by Jul '29TransactionNew PropertyFurnishingUnfurnishedSocietyBharat AuravistasBathroom5Balcony2
Sahakar Excel Acropolis,₹2.19 Cr ,"2 BHK Apartment for Sale in Sahakar Excel Acropolis, Bandra East Mumbai Western Mumbai",Carpet Area617 sqftUnder ConstructionPoss. by Jun '28TransactionNew PropertyFurnishingUnfurnishedSocietySahakar Excel AcropolisBathroom2Balcony1
Adani Ten BKC ,₹8.13 Cr ,"3 BHK Apartment for Sale in Adani Ten BKC , Bandra Kurla Complex Mumbai Western Mumbai",Super Area1626 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyAdani Ten BKCBathroom3
Rishabraj Avyaana,₹4.56 Cr ,"3 BHK Apartment for Sale in Rishabraj Avyaana, Goregaon West Mumbai Western Mumbai",Carpet Area1340 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyRishabraj AvyaanaBathroom3Balcony1
Bhairav Ocean Breeze,₹1.37 Cr ,"2 BHK Apartment for Sale in Bhairav Ocean Breeze, Kandivali West Mumbai Western Mumbai",Carpet Area610 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyBhairav Ocean BreezeBathroom2Balcony1
Hill View Crest Oaks,₹3.03 Cr ,"3 BHK Apartment for Sale in Hill View Crest Oaks, Marol Mumbai Western Mumbai",Carpet Area1145 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyHill View Crest Oaks
Kolte Patil Vivere,₹4.27 Cr ,"3 BHK Apartment for Sale in Kolte Patil Vivere, Goregaon West Mumbai Western Mumbai",Carpet Area1070 sqftUnder ConstructionPoss. by Aug '30TransactionNew PropertyFurnishingUnfurnishedSocietyKolte Patil VivereBathroom3Balcony1
Sushanku Avenue 37,₹2.44 Cr ,"3 BHK Apartment for Sale in Sushanku Avenue 37, Goregaon West Mumbai Western Mumbai",Super Area827 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietySushanku Avenue 37Bathroom2
Godrej Reserve,₹6.15 Cr ,"4 BHK Apartment for Sale in Godrej Reserve, Kandivali East Mumbai Western Mumbai",Carpet Area2016 sqftUnder ConstructionPoss. by Jun '30TransactionNew PropertyFurnishingUnfurnishedSocietyGodrej ReserveBathroom4Balcony2
Puravankara Purva Estrella,₹7.20 Cr ,"4 BHK Apartment for Sale in Puravankara Purva Estrella, Andheri West Mumbai Western Mumbai",Carpet Area1600 sqftUnder ConstructionPoss. by Jul '30TransactionNew PropertyFurnishingUnfurnishedSocietyPuravankara Purva EstrellaBathroom4Balcony1
Shubh Nirvana,₹2.16 Cr ,"3 BHK Apartment for Sale in Shubh Nirvana, Viman Nagar Pune",Carpet Area1332 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietyShubh NirvanaBathroom3Balcony2
Pristine KYRA,₹6.02 Cr ,"5 BHK Apartment for Sale in Pristine KYRA, Viman Nagar Pune",Carpet Area2636 sqftUnder ConstructionPoss. by Mar '29TransactionNew PropertyFurnishingUnfurnishedSocietyPristine KYRABathroom5Balcony2
OXY BENICIO PHASE 1,₹2.44 Cr ,"3 BHK Apartment for Sale in OXY BENICIO PHASE 1, Viman Nagar Pune",Carpet Area1129 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietyOXY BENICIO PHASE 1Bathroom3Balcony2
Pristine KYRA,₹3.98 Cr ,"3 BHK Apartment for Sale in Pristine KYRA, Viman Nagar Pune",Carpet Area1882 sqftUnder ConstructionPoss. by Mar '29TransactionNew PropertyFurnishingUnfurnishedSocietyPristine KYRABathroom3Balcony2
Shubh Nirvana,₹2.17 Cr ,"3 BHK Apartment for Sale in Shubh Nirvana, Viman Nagar Pune",Carpet Area1332 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyShubh NirvanaBathroom3Balcony2
Shubh Nirvana,₹2.17 Cr ,"3 BHK Apartment for Sale in Shubh Nirvana, Viman Nagar Pune",Carpet Area1332 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyShubh NirvanaBathroom3Balcony2
Pleasant Avenue Apartment,₹75 Lac ,"1 BHK Apartment for Sale in Pleasant Avenue Apartment, Viman Nagar Pune",Carpet Area485 sqftStatusReady to MoveFloor1 out of 6TransactionResaleFurnishingUnfurnishedfacingEastoverlookingMain RoadSocietyPleasant Avenue ApartmentOwnershipFreeholdCar Parking1 OpenBathroom1Balcony1
Nyati Empress,₹3.25 Cr ,"  Shop for Sale in Nyati Empress, Air Force Campus, Viman Nagar Pune",Carpet Area645 sqftStatusReady to MoveFloor1 out of 8TransactionResaleCar Parking1 Covered
Shubh Nirvana,₹2.30 Cr ,"3 BHK Apartment for Sale in Shubh Nirvana, Viman Nagar Pune","Carpet Area1129 sqftStatusReady to MoveFloor7 out of 14TransactionNew PropertyFurnishingSemi-FurnishedfacingNorthoverlookingPool, Garden/Park, Main RoadSocietyShubh NirvanaOwnershipFreeholdCar Parking1 CoveredBathroom3Balcony3"
,₹1 Cr ,  Office Space for Sale in Viman Nagar Pune,Carpet Area500 sqftStatusReady to MoveFloor2 out of 9TransactionResaleCar Parking3 CoveredBathroom1
DNK Square ,₹1.50 Cr ,"  Office Space for Sale in DNK Square , Viman Nagar Pune",Carpet Area600 sqftStatusReady to MoveFloor7 out of 15TransactionResaleCar Parking1 CoveredBathroom1
,₹5 Cr ,  Office Space for Sale in Viman Nagar Pune,Carpet Area3100 sqftStatusReady to MoveFloor4 out of 12TransactionResaleCar Parking7 CoveredBathroom2
,₹3.25 Cr ,3 BHK Apartment for Sale in Viman Nagar Pune,"Super Area1690 sqftStatusReady to MoveFloor6 out of 12TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/Park, PoolOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony1"
Zircon,₹1.99 Cr ,"3 BHK Apartment for Sale in Zircon, Viman Nagar Pune",Carpet Area1115 sqftStatusReady to MoveFloor2 out of 8TransactionResaleFurnishingUnfurnishedfacingSouthoverlookingGarden/ParkSocietyZirconOwnershipFreeholdBathroom3Balcony1
OXY BENICIO PHASE 1,₹1.34 Cr ,"2 BHK Apartment for Sale in OXY BENICIO PHASE 1, Viman Nagar Pune",Carpet Area620 sqftStatusReady to MoveFloor8 out of 11TransactionResaleFurnishingUnfurnishedfacingEastSocietyOXY BENICIO PHASE 1OwnershipFreeholdCar Parking1 CoveredBathroom2Balcony1
Shubh Nirvana,₹2.50 Cr ,"  Shop for Sale in Shubh Nirvana, Viman Nagar Pune",Carpet Area450 sqftUnder ConstructionPoss. by Jun '26FloorGround out of 14TransactionNew PropertyCar Parking1 Covered
,₹5.25 Cr ,"4 BHK Apartment for Sale in Marvel Sonnet , Mhada Colony-Viman Nagar, Viman Nagar Pune",Carpet Area3400 sqftStatusReady to MoveFloor4 out of 6TransactionResaleFurnishingSemi-FurnishedfacingEastoverlookingMain RoadSocietyMarvel SonnetOwnershipFreeholdCar Parking2 CoveredBathroom4Balcony2
Lunkad Sky Vie,₹4.50 Cr ,"3 BHK Penthouse for Sale in Lunkad Sky Vie, Viman Nagar Pune","Carpet Area2352 sqftStatusReady to MoveFloor9 out of 9TransactionResaleFurnishingFurnishedfacingEastoverlookingGarden/Park, Pool, Main RoadSocietyLunkad Sky VieOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony1"
Shubh Nirvana,₹2.49 Cr ,"  Shop for Sale in Shubh Nirvana, Viman Nagar Pune",Carpet Area517 sqftStatusReady to MoveFloorGround out of 12TransactionResaleCar Parking1 Open
Pristine KYRA,₹2.82 Cr ,"3 BHK Apartment for Sale in Pristine KYRA, Viman Nagar Pune",Carpet Area1560 sqftUnder ConstructionPoss. by Dec '27Floor10 out of 22TransactionNew PropertyFurnishingSemi-FurnishedfacingEastSocietyPristine KYRAOwnershipFreeholdCar Parking3 CoveredBathroom3Balcony3
Shubh Gateway,₹92.1 Lac ,"2 BHK Apartment for Sale in Shubh Gateway, Viman Nagar Pune","Carpet Area700 sqftStatusReady to MoveFloor9 out of 17TransactionNew PropertyFurnishingSemi-FurnishedfacingEastoverlookingPool, Garden/ParkSocietyShubh GatewayOwnershipFreeholdCar Parking1 Covered,Bathroom2Balcony2"
Pristine KYRA,₹3.01 Cr ,"3 BHK Apartment for Sale in Pristine KYRA, Viman Nagar Pune",Carpet Area1546 sqftUnder ConstructionPoss. by Mar '28Floor6 out of 12TransactionNew PropertyFurnishingUnfurnishedfacingWestSocietyPristine KYRAOwnershipFreeholdCar Parking2 CoveredBathroom4Balcony1
Rohan Mithila,₹2.30 Cr ,"3 BHK Apartment for Sale in Rohan Mithila, Viman Nagar Pune",Carpet Area1200 sqftStatusReady to MoveFloor1 out of 6TransactionResaleFurnishingSemi-FurnishedSocietyRohan MithilaBathroom3Balcony2
OXY BENICIO PHASE 1,₹2.14 Cr ,"3 BHK Apartment for Sale in OXY BENICIO PHASE 1, Viman Nagar Pune","Carpet Area1129 sqftUnder ConstructionPoss. by Dec '26Floor8 out of 10TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Pool, Main RoadSocietyOXY BENICIO PHASE 1OwnershipFreeholdCar Parking1 CoveredBathroom3Balcony2"
Shubh Nirvana,₹2.40 Cr ,"3 BHK Apartment for Sale in Shubh Nirvana, Air Force Campus, Viman Nagar Pune",Carpet Area1300 sqftFloor7 out of 12TransactionResaleFurnishingSemi-FurnishedfacingEastoverlookingGarden/ParkSocietyShubh NirvanaOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony3
Pristine KYRA,₹3.98 Cr ,"3 BHK Apartment for Sale in Pristine KYRA, Viman Nagar Pune","Carpet Area1882 sqftUnder ConstructionPoss. by Aug '28Floor10 out of 12TransactionResaleFurnishingSemi-FurnishedfacingEastoverlookingGarden/Park, PoolSocietyPristine KYRAOwnershipCo-operative SocietyCar Parking3 CoveredBathroom4Balcony2"
Pristine KYRA,₹3.98 Cr ,"3 BHK Apartment for Sale in Pristine KYRA, Clover Park, Viman Nagar Pune","Carpet Area1882 sqftUnder ConstructionPoss. by Mar '29TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Pool, Main RoadSocietyPristine KYRAOwnershipFreeholdCar Parking2 CoveredBathroom5Balcony2"
Marvel Sonnet ,₹5.25 Cr ,"4 BHK Apartment for Sale in Marvel Sonnet , Konark Nagar Pune","Carpet Area4800 sqftStatusReady to MoveFloor4 out of 20TransactionResaleFurnishingFurnishedfacingEastoverlookingGarden/Park, Pool, Main RoadSocietyMarvel SonnetOwnershipFreeholdCar Parking3 CoveredBathroom6Balcony4"
Solitaire Business Hub,₹2.30 Cr ,"  Showroom for Sale in Solitaire Business Hub, Viman Nagar Pune",Carpet Area1335 sqftStatusReady to MoveFloorGround out of 10TransactionResale
Sky Belvedere,₹8.50 Cr ,"4 BHK Apartment for Sale in Sky Belvedere, Viman Nagar Pune","Super Area4505 sqftStatusReady to MoveFloor1 out of 4TransactionResaleFurnishingSemi-FurnishedfacingNorthoverlookingGarden/Park, Pool, Main RoadSocietySky BelvedereOwnershipFreeholdCar Parking3 CoveredBathroom5Balcony2"
,₹1.63 Cr ,"3 BHK Apartment for Sale in The Greenfront at Godrej Park World, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune",Carpet Area1198 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyThe Greenfront at Godrej Park WorldBathroom3Balcony2
,₹81.2 Lac ,"2 BHK Apartment for Sale in Kohinoor Central Park, Phase 2 Hinjewadi Rajiv Gandhi Infotech Park Pune",Super Area725 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyKohinoor Central ParkBathroom2Balcony2
Suratwala Mark Plazzo,₹1.05 Cr ,"  Office Space for Sale in Suratwala Mark Plazzo, Hinjawadi Pune",Carpet Area434 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyBathroom1Balcony1
Godrej Evergreen Square,₹1.37 Cr ,"3 BHK Apartment for Sale in Godrej Evergreen Square, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park Pune",Carpet Area1074 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyGodrej Evergreen SquareBathroom3Balcony1
The Greenfront at Godrej Park World,₹1.63 Cr ,"3 BHK Apartment for Sale in The Greenfront at Godrej Park World, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune",Carpet Area1198 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyThe Greenfront at Godrej Park WorldBathroom3Balcony2
Lodha Panache,₹1.62 Cr ,"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",Carpet Area1088 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyLodha PanacheBathroom3Balcony2
The Greenfront at Godrej Park World,₹1.63 Cr ,"3 BHK Apartment for Sale in The Greenfront at Godrej Park World, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune",Carpet Area1198 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyThe Greenfront at Godrej Park WorldBathroom3Balcony2
Legend Aaradhyam,₹94.5 Lac ,"3 BHK Apartment for Sale in Legend Aaradhyam, Maan Pune",Carpet Area1041 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyLegend AaradhyamBathroom2Balcony2
Lodha Panache,₹1.62 Cr ,"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",Carpet Area1088 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyLodha PanacheBathroom3Balcony2
Kohinoor Central Park,₹1.06 Cr ,"3 BHK Apartment for Sale in Kohinoor Central Park, Phase 2 Hinjewadi Rajiv Gandhi Infotech Park Pune",Carpet Area955 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyKohinoor Central ParkBathroom3Balcony2
Kohinoor Central Park,₹1.06 Cr ,"3 BHK Apartment for Sale in Kohinoor Central Park, Phase 2 Hinjewadi Rajiv Gandhi Infotech Park Pune",Carpet Area955 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyKohinoor Central ParkBathroom3Balcony3
Saheel Landmarc,₹1.57 Cr ,"4 BHK Apartment for Sale in Saheel Landmarc, Phase 3 Hinjewadi Rajiv Gandhi Infotech Park Pune",Carpet Area1475 sqftUnder ConstructionPoss. by Jun '29TransactionNew PropertyFurnishingUnfurnishedSocietySaheel LandmarcBathroom4Balcony3
Lodha Panache,₹1.62 Cr ,"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",Carpet Area1088 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyLodha PanacheBathroom3Balcony2
Godrej Eden Estate Phase 3,₹3.04 Cr ,"  Plot/Land for Sale in Godrej Eden Estate Phase 3, Hinjawadi Pune",Plot Area2600 sqftUnder ConstructionPoss. by Mar '27TransactionNew Property
Kolte Patil Canvas Phase 2,₹1.99 Cr ,"4 BHK Apartment for Sale in Kolte Patil Canvas Phase 2, Marunji, Hinjawadi Pune",Carpet Area1700 sqftUnder ConstructionPoss. by Dec '30TransactionNew PropertyFurnishingUnfurnishedSocietyKolte Patil Canvas Phase 2Bathroom3Balcony2
