society_name,price,location,area
Lodha Camelot,₹2.80 Cr ,"4 BHK Apartment for Sale in Lodha Camelot, Wagholi Pune",Carpet Area1668 sqftUnder ConstructionPoss. by Mar '30TransactionNew PropertyFurnishingUnfurnishedSocietyLodha CamelotBathroom4Balcony4
Kolte Patil 24k Sereno,₹3.21 Cr ,"3 BHK Apartment for Sale in Kolte Patil 24k Sereno, Baner Pune",Carpet Area1674 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyKolte Patil 24k SerenoBathroom3Balcony3
Lodha Panache,₹1.62 Cr ,"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",Carpet Area1088 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyLodha PanacheBathroom3Balcony2
Dosti Greenscapes,₹1.65 Cr ,"4 BHK Apartment for Sale in Dosti Greenscapes, Hadapsar Pune",Carpet Area1395 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietyDosti GreenscapesBathroom4Balcony4
Sukhwani Minerva,₹2.40 Cr ,"4 BHK Apartment for Sale in Sukhwani Minerva, Pimple Saudagar, Pimpri Chinchwad Pune",Carpet Area1474 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietySukhwani MinervaBathroom4Balcony4
The Greenfront at Godrej Park World,₹1.63 Cr ,"3 BHK Apartment for Sale in The Greenfront at Godrej Park World, Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune",Carpet Area1198 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyThe Greenfront at Godrej Park WorldBathroom3Balcony2
Kumar Parc Residences A2,₹2.19 Cr ,"4 BHK Apartment for Sale in Kumar Parc Residences A2, Magarpatta Pune",Carpet Area1674 sqftUnder ConstructionPoss. by May '28TransactionNew PropertyFurnishingUnfurnishedSocietyKumar Parc Residences A2Bathroom4Balcony3
Kumar Surakasha,₹1.45 Cr ,3 BHK Ready to Occupy Flat for sale  in Kumar Surakasha  Kondhwa,"Carpet Area1450 sqftStatusReady to MoveFloor2 out of 7TransactionResaleFurnishingSemi-FurnishedoverlookingGarden/Park, PoolSocietyKumar SurakashaOwnershipFreeholdBathroom3Balcony1"
Terraza,₹3.95 Cr ,3 BHK Ready to Occupy Flat for sale  in Terraza  Anand Park Aundh,"Carpet Area1750 sqftStatusReady to MoveFloor4 out of 4TransactionResaleFurnishingSemi-FurnishedfacingWestoverlookingGarden/Park, Main RoadSocietyTerrazaOwnershipCo-operative SocietyCar Parking3 CoveredBathroom4Balcony4"
Ganga Liviano,₹1.57 Cr ,2 BHK Ready to Occupy Flat for sale  in Ganga Liviano  Kharadi,Carpet Area870 sqftStatusReady to MoveFloor9 out of 13TransactionResaleFurnishingFurnishedfacingWestoverlookingMain RoadSocietyGanga LivianoOwnershipCo-operative SocietyCar Parking901 CoveredBathroom2
Venkatesh Graffiti,₹85 Lac ,2 BHK Ready to Occupy Flat for sale  in Venkatesh Graffiti  Keshav Nagar Mundhwa,Carpet Area785 sqftStatusReady to MoveFloor8 out of 11TransactionResaleFurnishingSemi-FurnishedfacingEastSocietyVenkatesh GraffitiOwnershipCo-operative SocietyBathroom2Balcony1
Vilas Prime Panache C Wing,₹1.80 Cr ,2 BHK Ready to Occupy Flat for sale  in Vilas Prime Panache C Wing  Baner,Carpet Area946 sqftStatusReady to MoveFloor3 out of 6TransactionResaleFurnishingSemi-FurnishedfacingNorth - EastoverlookingGarden/ParkSocietyVilas Prime Panache C WingOwnershipCo-operative SocietyCar Parking1 CoveredBathroom2Balcony2
Bharati Vihar,₹98 Lac ,2 BHK Ready to Occupy Flat for sale  in Bharati Vihar  Katraj,Super Area1097 sqftStatusReady to MoveFloor1 out of 6TransactionResaleFurnishingSemi-FurnishedfacingEastoverlookingMain RoadSocietyBharati ViharOwnershipCo-operative SocietyBathroom2Balcony1
Gayatree LandMark Phase 2,₹1.10 Cr ,"2 BHK Ready to Occupy Flat for sale  in Gayatree LandMark Phase 2  Thergaon, Pimpri Chinchwad",Super Area798 sqftStatusReady to MoveFloor2 out of 8TransactionResaleFurnishingFurnishedSocietyGayatree LandMark Phase 2Bathroom2
Royal cataleya,₹56 Lac ,"2 BHK Ready to Occupy Flat for sale  in Royal cataleya  Kiwale, Dehu Road","Carpet Area680 sqftStatusReady to MoveFloor3 out of 4TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Main RoadSocietyRoyal cataleyaOwnershipCo-operative SocietyCar Parking301 CoveredBathroom2Balcony2"
J S Chandrabhaga Residency,₹47.5 Lac ,1 BHK Ready to Occupy Flat for sale  in J S Chandrabhaga Residency  Rahatani,Carpet Area372 sqftStatusReady to MoveFloor2 out of 3TransactionResaleFurnishingFurnishedfacingEastSocietyJ S Chandrabhaga ResidencyOwnershipPower Of AttorneyBathroom2Balcony1
Pristine Pacific 1,₹46 Lac ,1 BHK Ready to Occupy Flat for sale  in Pristine Pacific 1  Ambegaon,"Super Area650 sqftStatusReady to MoveFloor5 out of 11TransactionResaleFurnishingUnfurnishedfacingEastoverlookingPool, Garden/Park, Main RoadSocietyPristine Pacific 1OwnershipCo-operative SocietyBathroom2Balcony2"
Pristine Pacific 1,₹48 Lac ,1 BHK Ready to Occupy Flat for sale  in Pristine Pacific 1  Katraj Ambegaon BK Road,"Carpet Area648 sqftStatusReady to MoveFloor5 out of 11TransactionResaleFurnishingUnfurnishedfacingEastoverlookingMain Road, Garden/ParkSocietyPristine Pacific 1OwnershipCo-operative SocietyBathroom2Balcony2"
Gada Anutham,₹1.60 Cr ,3 BHK Ready to Occupy Flat for sale  in Gada Anutham  Hadapsar,"Carpet Area1050 sqftStatusReady to MoveFloor4 out of 20TransactionNew PropertyFurnishingSemi-FurnishedfacingNorth - WestoverlookingGarden/Park, Main RoadSocietyGada AnuthamOwnershipCo-operative SocietyBathroom3Balcony2"
Mark Nirvana,₹60 Lac ,2 BHK Ready to Occupy Flat for sale  in Mark Nirvana  Kamshet,Carpet Area700 sqftStatusReady to MoveFloorGround out of 2TransactionNew PropertyFurnishingSemi-FurnishedfacingNorth - EastoverlookingGarden/ParkSocietyMark NirvanaOwnershipCo-operative SocietyBathroom2Balcony1
Vasant Utsav,₹74 Lac ,2 BHK Ready to Occupy Flat for sale  in Vasant Utsav  Hinjawadi,Super Area892 sqftStatusReady to MoveFloor1 out of 4TransactionResaleFurnishingSemi-FurnishedSocietyVasant UtsavBathroom2
,₹3.70 Cr ,3 BHK Ready to Occupy Flat for sale  Pandurang Colony,"Carpet Area1350 sqftStatusReady to MoveFloor3 out of 6TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Main RoadCar Parking1 CoveredBathroom3Balcony1"
Xrbia Sneh Properties,₹15 Lac ,"2 BHK Ready to Occupy Flat for sale  in Xrbia Sneh Properties  Marunji, Hinjawadi",Carpet Area450 sqftStatusReady to MoveFloor6 out of 11TransactionNew PropertyFurnishingUnfurnishedfacingNorth - EastoverlookingGarden/ParkSocietyXrbia Sneh PropertiesOwnershipCo-operative SocietyBathroom2Balcony1
Shiv Sai Paradise,₹68 Lac ,"2 BHK Ready to Occupy Flat for sale  in Shiv Sai Paradise  Punawale, Pimpri Chinchwad",Carpet Area730 sqftStatusReady to MoveFloor1 out of 10TransactionResaleFurnishingSemi-FurnishedoverlookingGarden/ParkSocietyShiv Sai ParadiseOwnershipFreeholdBathroom2Balcony1
,₹50 Lac ,"1 BHK Ready to Occupy Flat for sale  Budhwar Peth, Shivaji Road",Carpet Area500 sqftStatusReady to MoveFloor3 out of 5TransactionResaleFurnishingUnfurnishedfacingEastoverlookingMain RoadOwnershipCo-operative SocietyBathroom1
,₹75 Lac ,2 BHK Ready to Occupy Flat for sale  Hinjawadi Wakad Road,Carpet Area643 sqftStatusReady to MoveFloor9 out of 16TransactionResaleFurnishingFurnishedoverlookingGarden/ParkOwnershipCo-operative SocietyBathroom2Balcony1
Ganga Fernhill,₹38 Lac ,1 BHK Ready to Occupy Flat for sale  in Ganga Fernhill  Undri,Super Area625 sqftStatusReady to MoveFloor8 out of 12TransactionResaleFurnishingUnfurnishedfacingEastoverlookingMain RoadSocietyGanga FernhillOwnershipCo-operative SocietyBathroom2Balcony2
