society_name,price,BHK,City,sqft,furnished_status
,₹6.50 Cr ,4 BHK,Bangalore,2100,Unfurnished
Brigade Gateway,₹3.50 Cr ,3 BHK,Bangalore,1400,Furnished
Sobha Rajvilas,₹4.50 Cr ,4 BHK,Bangalore,2500,Unfurnished
Sobha Rajvilas,₹4.25 Cr ,3 BHK,Bangalore,1387,Furnished
Sobha Rajvilas,₹4.25 Cr ,3 BHK,Bangalore,1400,Furnished
Sobha Rajvilas,₹3.90 Cr ,3 BHK,Bangalore,2100,Furnished
Brigade Gateway,₹5 Cr ,4 BHK,Bangalore,1900,Furnished
K Raheja Vivarea,₹9.33 Cr ,3 BHK,Bangalore,2809,Unfurnished
Sterling Infinia,₹4.75 Cr ,3 BHK,Bangalore,2439,Unfurnished
Sobha Morzaria Grandeur,₹5.46 Cr ,3 BHK,Bangalore,2735,Unfurnished
K Raheja Vivarea,₹9.33 Cr ,3 BHK,Bangalore,2809,Unfurnished
Advaitha Aksha,₹2.76 Cr ,3 BHK,Bangalore,1999,Unfurnished
G Corp Residences ,₹3.80 Cr ,3 BHK,Bangalore,1517,Furnished
KMB La Palazzo,₹8.65 Cr ,4 BHK,Bangalore,4893,Furnished
Radiance Platinum,₹3.54 Cr ,3 BHK,Bangalore,1800,Unfurnished
Radiance Platinum,₹5 Cr ,4 BHK,Bangalore,2700,Unfurnished
Shriram Esquire,₹3.77 Cr ,3 BHK,Bangalore,1318,Unfurnished
Radiance Platinum,₹4.90 Cr ,4 BHK,Bangalore,3010,Unfurnished
SJR Palazza City,₹2.65 Cr ,3 BHK,Bangalore,1400,Furnished
,₹2.10 Cr ,2 BHK,Bangalore,900,Unfurnished
DNR Spring Leaf,₹1.48 Cr ,3 BHK,Bangalore,1750,Unfurnished
DNR Spring Leaf,₹2.28 Cr ,3 BHK,Bangalore,1633,Unfurnished
DNR Spring Leaf,₹2.28 Cr ,3 BHK,Bangalore,957,Unfurnished
Prestige Pinewood,₹3.73 Cr ,3 BHK,Bangalore,1300,Unfurnished
Prestige Pinewood,₹2.90 Cr ,3 BHK,Bangalore,1050,Unfurnished
,₹24 Cr ,,Bangalore,9000,
,₹48 Cr ,,Bangalore,18000,
,₹14 Cr ,,Bangalore,4000,
Shriram Esquire,₹3.50 Cr ,3 BHK,Bangalore,1500,Unfurnished
Shriram Esquire,₹3.50 Cr ,3 BHK,Bangalore,1600,Unfurnished
KMB La Palazzo,₹9.10 Cr ,4 BHK,Bangalore,3200,Furnished
,₹2.90 Cr ,3 BHK,Bangalore,1700,Furnished
Shriram Esquire,₹5.12 Cr ,4 BHK,Bangalore,2360,Unfurnished
Prestige Pinewood,₹6.25 Cr ,4 BHK,Bangalore,2502,Furnished
Prestige Pinewood,₹6.95 Cr ,4 BHK,Bangalore,1703,Furnished
Raheja Residency,₹2.35 Cr ,3 BHK,Bangalore,1436,Furnished
,₹8.89 Cr ,3 BHK,Bangalore,3636,Unfurnished
,₹2.98 Cr ,4 BHK,Bangalore,1543,Unfurnished
Vaswani Starlight,₹3.87 Cr ,3 BHK,Bangalore,2730,Unfurnished
Brigade Avalon,₹6.42 Cr ,4 BHK,Bangalore,2187,Unfurnished
Ankuraa Pristine Park,₹2.82 Cr ,4 BHK,Bangalore,2439,Unfurnished
Ankuraa Pristine Park,₹1.52 Cr ,2 BHK,Bangalore,1289,Unfurnished
Evergreen at Prestige Raintree Park,₹1.64 Cr ,2 BHK,Bangalore,1177,Unfurnished
Prestige Raintree Park,₹2.84 Cr ,3 BHK,Bangalore,2004,Unfurnished
Vrise The Loft,₹2.71 Cr ,3 BHK,Bangalore,2244,Unfurnished
Vrise The Loft,₹2.71 Cr ,3 BHK,Bangalore,2244,Unfurnished
Evergreen at Prestige Raintree Park,₹3.20 Cr ,4 BHK,Bangalore,2299,Unfurnished
NVT OIKOS,₹6.25 Cr ,4 BHK,Bangalore,4069,Unfurnished
Sumadhura Edition,₹2.63 Cr ,3 BHK,Bangalore,1780,Unfurnished
Brigade Avalon,₹4.87 Cr ,3 BHK,Bangalore,1612,Unfurnished
Prestige Ozone,₹6.42 Cr ,4 BHK,Bangalore,4800,Unfurnished
Evergreen at Prestige Raintree Park,₹3.23 Cr ,4 BHK,Bangalore,2299,Unfurnished
Prestige Raintree Park,₹5.24 Cr ,5 BHK,Bangalore,3692,Unfurnished
Evergreen at Prestige Raintree Park,₹2.21 Cr ,2 BHK,Bangalore,1504,Unfurnished
Evergreen at Prestige Raintree Park,₹2.21 Cr ,2 BHK,Bangalore,1504,Unfurnished
DSR Elixir,₹4.75 Cr ,4 BHK,Bangalore,4615,Unfurnished
Evergreen at Prestige Raintree Park,₹2.58 Cr ,3 BHK,Bangalore,1759,Unfurnished
SBR One Residence,₹2.46 Cr ,3 BHK,Bangalore,1752,Unfurnished
Evergreen at Prestige Raintree Park,₹2.21 Cr ,2 BHK,Bangalore,1504,Unfurnished
Udbhav Gokulam,₹1.57 Cr ,3 BHK,Bangalore,1060,Unfurnished
Sipani City,₹1.19 Cr ,3 BHK,Bangalore,1660,Unfurnished
Sipani City,₹76.7 Lac ,2 BHK,Bangalore,1065,Unfurnished
Sterling Villa Grande,₹7.20 Cr ,3 BHK,Bangalore,3500,Unfurnished
Prestige Silver Oak,₹7.20 Cr ,4 BHK,Bangalore,4144,Unfurnished
Raffles Park,₹10.55 Cr ,5 BHK,Bangalore,6420,Unfurnished
Urban Poetry Of Earth,₹4.22 Cr ,4 BHK,Bangalore,3512,Unfurnished
Sumadhura Edition,₹3.10 Cr ,4 BHK,Bangalore,2050,Unfurnished
